Prix,Année,BoiteàV,Carburant,kilometrage,Marque,Model,NBporte,Origine,Première main,Puissance fiscale,Etat,équipements
305 000 DH,2022,Automatique,Diesel,75 000 - 79 999,Peugeot,3008,5,WW au Maroc,Oui,8 CV,Excellent,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Toit ouvrant"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""ABS"", ""Jantes aluminium"", ""Vitres \u00e9lectriques"", ""Si\u00e8ges cuir"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
68 000 DH,2009,Manuelle,Essence,80 000 - 84 999,Ford,Ka,3,Dédouanée,Oui,7 CV,Très bon,[]
90 000 DH,2012,Manuelle,Diesel,150 000 - 159 999,Ssangyong,Korando,8 CV,Excellent,Climatisation,Jantes aluminium,,[]
450 000 DH,2023,Automatique,Electrique,25 000 - 29 999,Tesla,Model Y,5,Pas encore dédouanée,Oui,6 CV,Excellent,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""ABS"", ""Jantes aluminium"", ""Vitres \u00e9lectriques"", ""Si\u00e8ges cuir"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
145 000 DH,2014,Automatique,Diesel,160 000 - 169 999,Volvo,XC60,5,WW au Maroc,Non,8 CV,Neuf,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""ABS"", ""Jantes aluminium"", ""Vitres \u00e9lectriques"", ""Si\u00e8ges cuir"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
356 000 DH,2021,Automatique,Diesel,180 000 - 189 999,Volvo,XC60,5,WW au Maroc,Non,8 CV,Bon,[]
118 000 DH,2020,Manuelle,Diesel,160 000 - 169 999,Renault,Clio,5,WW au Maroc,Oui,6 CV,Très bon,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Vitres \u00e9lectriques"", ""ABS"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
398 000 DH,2020,Automatique,Diesel,110 000 - 119 999,Volkswagen,Touareg,5,WW au Maroc,Oui,12 CV,Excellent,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Toit ouvrant"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""ABS"", ""Jantes aluminium"", ""Vitres \u00e9lectriques"", ""Si\u00e8ges cuir"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
450 000 DH,2016,Automatique,Diesel,160 000 - 169 999,Mercedes-Benz,Classe S,5,Importée neuve,Oui,12 CV,Excellent,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Toit ouvrant"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""ABS"", ""Jantes aluminium"", ""Vitres \u00e9lectriques"", ""Si\u00e8ges cuir"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
155 000 DH,2020,Manuelle,Diesel,100 000 - 109 999,Volkswagen,Caddy,3,WW au Maroc,Non,8 CV,Airbags,"[""Climatisation""]"
80 000 DH,2006,Manuelle,Diesel,200 000 - 249 999,Opel,Zafira,5,Dédouanée,Non,8 CV,Très bon,"[""CD/MP3/Bluetooth"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Toit ouvrant"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""ABS"", ""Jantes aluminium"", ""Vitres \u00e9lectriques"", ""Si\u00e8ges cuir"", ""Climatisation"", ""Airbags""]"
